customer_id,first_order_date
153,2025-06-06
467,2025-12-09
714,2023-09-13
844,2023-10-11
1017,2024-11-15
1502,2024-07-13
1746,2024-10-31
1960,2025-06-20
2045,2024-05-18
2123,2024-11-29
2561,2023-09-02
2570,2023-03-06
2681,2024-03-17
802,2024-01-30
1907,2024-04-24
2646,2023-03-09
2877,2024-06-02
653,2025-07-30
1389,2023-11-05
2130,2023-12-19
2206,2025-05-21
2840,2025-04-01
13,2023-06-25
775,2025-10-01
952,2024-08-06
1730,2023-08-01
2320,2024-03-07
2780,2025-07-20
2858,2024-12-21
2941,2025-07-28
553,2023-04-08
2722,2025-12-20
578,2025-09-17
1030,2023-02-24
1056,2025-04-24
1121,2023-07-30
1430,2023-06-11
1541,2023-04-10
2050,2023-10-23
2571,2025-03-22
2942,2024-03-31
241,2023-10-13
1151,2023-10-07
1381,2024-12-28
2088,2023-04-25
2971,2025-04-12
991,2025-11-28
1175,2023-06-12
1338,2023-08-04
1993,2023-03-23
2071,2024-03-16
2094,2024-07-01
2100,2024-12-09
2330,2025-12-28
2630,2024-07-02
1973,2023-08-19
2016,2024-02-03
364,2025-01-14
459,2024-08-12
735,2023-04-28
921,2024-01-25
2060,2024-11-03
2106,2024-02-21
2535,2024-02-05
2703,2023-12-13
273,2023-11-07
455,2023-12-30
616,2025-12-13
1596,2025-02-03
1917,2025-01-05
2244,2024-12-09
2260,2024-09-14
2413,2023-10-10
2584,2023-11-20
177,2025-02-22
294,2025-07-10
584,2023-10-16
787,2024-02-04
803,2025-08-21
1023,2024-11-02
1146,2024-12-21
1991,2025-04-20
2731,2025-04-17
2891,2023-12-29
42,2023-05-27
2240,2024-04-27
1065,2025-12-29
2916,2023-08-13
2979,2023-12-26
688,2025-03-26
972,2023-09-29
1236,2024-03-15
1655,2024-02-05
1341,2025-01-08
1624,2025-04-29
2022,2024-10-27
2565,2024-02-28
1063,2023-06-18
546,2023-04-12
1067,2024-03-04
1909,2025-05-18
1955,2025-03-15
2024,2024-03-25
2168,2024-12-09
2344,2024-07-03
684,2023-09-01
2738,2024-01-08
2193,2024-03-22
2673,2025-07-31
344,2025-03-31
433,2025-09-10
1651,2025-07-23
1728,2023-09-07
2949,2025-06-16
26,2023-09-02
2492,2024-08-03
20,2025-09-13
480,2025-08-07
566,2023-10-13
798,2023-01-29
876,2025-07-09
981,2024-05-11
1055,2024-02-04
1145,2024-03-23
1370,2023-08-31
1439,2025-07-12
1519,2024-09-13
1622,2024-11-05
1718,2023-03-09
2127,2024-07-06
2209,2024-12-13
484,2024-09-25
585,2023-05-29
1018,2023-10-01
1908,2025-06-03
1928,2023-05-07
2602,2023-06-04
1321,2025-08-21
1977,2025-12-27
2291,2024-04-29
2400,2023-05-17
2988,2024-02-01
79,2024-11-28
217,2024-07-16
232,2024-01-27
887,2023-12-01
2425,2025-03-05
2452,2025-05-10
2931,2024-11-24
627,2025-03-07
2172,2024-02-24
308,2024-01-21
745,2025-10-10
2335,2023-07-16
2442,2023-04-19
2575,2023-06-23
2714,2023-03-01
2772,2023-04-16
1634,2024-03-16
1885,2023-11-09
2689,2023-05-16
2777,2024-12-06
848,2024-05-06
1052,2025-07-09
1149,2024-09-05
1197,2024-03-28
1277,2023-12-17
2037,2024-02-28
2162,2025-02-15
2674,2024-07-04
2936,2023-12-10
1640,2023-11-10
1881,2024-04-03
472,2024-11-09
645,2023-04-05
1161,2024-10-03
2546,2024-02-23
226,2025-01-16
531,2024-03-17
2214,2025-04-19
145,2023-05-09
287,2023-04-26
402,2025-07-31
1921,2024-10-21
2103,2024-03-15
2648,2024-04-21
1934,2024-12-21
2183,2023-07-26
2551,2023-03-21
2685,2023-06-04
1476,2023-08-15
1510,2023-04-22
2219,2023-10-18
2262,2025-11-13
2439,2023-09-06
2985,2024-07-26
451,2025-01-11
770,2025-08-25
1688,2025-03-12
2589,2024-12-27
33,2023-08-15
276,2023-08-25
380,2024-01-03
604,2024-12-11
687,2025-02-08
791,2023-05-23
1489,2025-10-25
2067,2025-09-15
2255,2024-01-01
2709,2024-07-13
2872,2025-09-17
2932,2025-02-07
3,2025-12-17
194,2023-09-13
524,2023-11-08
1308,2024-06-14
1359,2023-04-21
1569,2023-09-15
2455,2025-01-31
930,2023-11-10
2686,2023-08-15
1521,2024-06-27
1758,2025-03-15
2263,2025-07-19
128,2023-03-20
696,2024-09-06
920,2024-10-24
2052,2024-09-04
2173,2025-05-22
2491,2024-12-08
532,2025-12-03
1978,2024-04-04
2464,2025-10-27
2835,2023-09-30
620,2024-08-13
1253,2024-03-14
1501,2024-10-16
240,2023-02-21
302,2024-07-27
493,2024-08-29
680,2023-10-30
1184,2024-02-17
1280,2024-04-24
1629,2023-08-26
1863,2023-12-07
2212,2023-10-12
2526,2025-09-23
2729,2023-12-17
2948,2023-10-03
125,2024-10-09
1455,2024-08-18
2032,2023-02-05
2470,2025-06-14
971,2025-07-12
1463,2023-04-07
1686,2025-05-28
2202,2024-01-20
2530,2023-08-30
2814,2023-10-08
446,2023-12-30
904,2025-12-31
2362,2024-01-01
2917,2024-11-21
144,2024-01-10
1310,2024-10-26
2837,2025-02-11
110,2023-04-03
479,2025-07-31
701,2025-12-18
1082,2024-07-31
1099,2024-09-01
1316,2024-02-24
1988,2023-12-01
2142,2024-03-24
2235,2024-12-17
2857,2024-02-21
35,2024-11-14
1260,2025-04-09
1314,2023-02-21
1726,2024-01-31
2404,2025-03-13
1860,2025-05-03
2136,2025-10-08
388,2024-07-02
1103,2024-04-26
54,2023-11-27
571,2024-05-21
1935,2025-11-12
321,2025-11-04
1144,2024-09-29
1998,2025-01-06
2065,2025-11-07
2107,2023-08-09
2242,2024-01-14
2279,2023-02-22
2778,2025-02-19
2785,2023-11-29
2938,2025-07-21
1058,2025-07-13
2004,2024-09-24
1659,2024-03-06
851,2023-03-03
935,2025-11-11
1048,2023-12-29
1203,2024-08-25
123,2025-01-12
454,2024-06-30
743,2025-12-28
1336,2025-10-29
1346,2024-01-18
1466,2024-06-07
1508,2023-04-12
1891,2023-08-05
2382,2023-10-22
2581,2023-03-20
189,2024-01-23
278,2024-01-29
931,2024-09-08
1949,2025-01-30
2408,2024-05-19
784,2023-09-08
2827,2024-10-01
430,2025-01-19
490,2024-09-22
845,2024-09-17
2039,2025-01-24
2349,2025-03-30
2688,2024-09-08
2996,2024-09-04
518,2024-10-03
1647,2024-06-18
2000,2023-08-31
2559,2024-03-14
206,2023-10-21
2151,2025-04-16
2636,2025-07-04
299,2024-02-06
675,2025-06-29
1599,2025-07-12
2346,2023-02-22
2606,2024-04-13
2828,2024-10-10
2912,2025-07-11
283,2023-08-13
369,2023-04-15
555,2023-06-04
767,2025-09-10
1083,2024-01-20
1345,2024-05-05
1537,2023-12-11
2325,2025-05-20
2427,2025-03-04
2603,2024-07-06
1379,2023-04-09
1483,2025-06-22
485,2024-03-30
667,2023-05-21
831,2024-02-14
1231,2024-08-02
2117,2024-06-20
2984,2024-10-23
1202,2025-05-28
1374,2024-07-04
1549,2024-02-14
2190,2024-06-10
2629,2025-05-16
2817,2024-12-08
361,2024-07-17
2512,2023-05-09
2649,2024-07-06
2604,2024-12-01
375,2025-10-15
1080,2025-07-15
1353,2025-10-24
2333,2024-06-10
82,2023-06-14
574,2024-04-09
610,2025-10-07
865,2023-10-07
1163,2024-03-25
1190,2023-09-19
1298,2024-04-14
1763,2023-09-30
2807,2023-06-02
1772,2025-08-08
2073,2024-05-05
561,2025-02-14
757,2025-01-06
916,2025-06-02
2966,2024-10-22
769,2023-02-22
1661,2024-09-16
65,2025-10-18
288,2025-12-17
579,2024-04-19
827,2023-12-18
1014,2025-02-24
1170,2025-08-17
1334,2024-07-26
1637,2024-05-14
2305,2023-07-12
2659,2025-03-07
629,2025-12-24
1700,2025-03-31
1948,2025-11-06
2396,2023-06-26
879,2024-11-26
1281,2024-10-03
1632,2024-01-18
1665,2025-10-01
2227,2024-12-13
2292,2024-10-25
418,2024-04-19
2700,2025-03-03
2934,2024-08-28
429,2025-08-27
453,2025-11-04
839,2025-05-28
840,2024-04-17
1243,2023-07-31
1311,2023-07-24
1543,2024-12-17
1602,2025-03-03
1666,2025-06-11
2216,2023-04-03
2558,2024-03-03
2628,2025-05-27
2880,2024-07-18
2904,2024-12-27
2968,2025-11-29
336,2024-05-26
1410,2024-09-16
1872,2025-02-28
1904,2023-03-04
2049,2025-07-08
2253,2024-11-02
2392,2024-12-22
2457,2023-10-09
2667,2024-02-09
17,2025-06-28
309,2024-03-09
407,2024-05-19
511,2023-04-10
537,2024-05-13
755,2025-06-03
939,2025-03-11
1139,2024-03-08
1480,2023-10-07
1630,2025-12-01
1741,2024-11-02
1875,2025-08-04
1963,2023-09-13
2011,2025-04-22
2363,2025-09-21
2498,2025-05-03
2851,2024-10-18
61,2023-01-31
93,2025-10-01
185,2023-05-24
884,2025-03-29
1293,2025-11-30
1378,2025-01-09
1442,2025-02-02
1535,2024-04-24
239,2023-05-27
607,2024-06-19
859,2024-05-18
1090,2024-10-29
1244,2023-08-03
1499,2025-11-01
1721,2024-10-20
2614,2024-08-09
2742,2023-07-09
2765,2024-01-20
2896,2025-11-03
837,2025-07-20
967,2024-09-27
1645,2024-10-14
1843,2025-05-27
2008,2023-11-02
160,2023-11-20
249,2025-04-15
378,2023-03-19
389,2025-10-03
435,2025-08-13
587,2024-01-07
609,2023-12-09
842,2025-10-13
1143,2025-01-23
1232,2024-01-05
1393,2023-11-21
1557,2024-10-16
1735,2025-04-10
1781,2024-10-22
2025,2025-06-18
2176,2024-12-20
2184,2023-05-09
2695,2023-09-16
2735,2023-12-21
2834,2025-07-12
2884,2024-12-27
2913,2025-01-19
243,2023-03-31
1326,2024-07-21
1451,2025-03-22
2752,2023-09-12
251,2025-02-27
640,2024-02-17
814,2024-03-23
843,2024-08-20
919,2023-04-20
1057,2025-02-01
1110,2024-02-02
1867,2024-01-10
1910,2023-03-08
1958,2023-08-12
2353,2025-08-25
67,2024-09-27
695,2024-10-19
1028,2024-02-13
1112,2024-04-03
1250,2024-02-20
1331,2025-07-18
1428,2025-09-07
1925,2025-03-10
2239,2025-05-09
2338,2023-06-09
2562,2023-11-21
113,2025-09-09
766,2025-08-10
1235,2023-07-12
1765,2023-06-24
2669,2023-03-25
195,2025-11-16
330,2023-03-24
497,2025-12-24
636,2023-08-24
773,2023-10-18
928,2023-06-11
961,2024-05-16
1133,2023-05-17
1148,2024-01-27
1237,2025-10-28
1337,2025-05-05
1355,2023-02-20
1366,2024-04-20
1404,2023-08-31
1644,2023-11-04
1969,2025-12-10
2063,2024-03-31
2105,2024-12-03
2114,2024-03-24
2156,2024-10-05
2365,2023-07-10
2547,2025-08-12
2652,2024-02-12
2831,2024-08-23
200,2025-10-31
643,2025-05-24
2018,2024-06-20
2334,2025-01-05
2426,2025-08-08
2431,2025-10-20
2981,2023-11-26
387,2025-10-09
964,2023-11-02
2133,2023-04-11
84,2025-11-08
538,2023-04-22
646,2024-02-11
753,2023-10-04
909,2025-06-24
999,2024-07-01
2147,2024-05-26
2354,2025-05-25
2798,2023-08-28
215,2025-11-20
266,2025-03-15
513,2024-11-12
569,2023-01-25
1073,2025-08-29
1761,2023-01-29
1985,2024-10-04
2230,2024-07-09
2598,2023-02-14
398,2023-11-22
660,2023-12-11
1105,2025-04-25
1464,2023-09-15
1982,2023-03-09
2776,2024-11-14
105,2024-04-08
207,2025-12-21
270,2025-06-02
549,2024-01-28
1010,2023-09-01
1032,2024-09-05
2393,2024-05-08
2518,2024-08-24
2757,2025-12-06
804,2024-08-03
1620,2023-11-12
1884,2024-12-10
1932,2024-03-23
2250,2023-11-24
41,2023-03-01
212,2023-05-14
227,2023-11-15
371,2024-04-13
835,2024-08-13
956,2023-09-26
1817,2024-09-28
2454,2024-03-07
316,2024-05-14
1201,2025-05-30
2084,2024-08-14
2448,2023-12-19
2707,2025-03-30
149,2025-08-25
987,2023-11-25
1417,2025-01-18
1457,2024-05-18
1503,2024-03-07
1556,2023-11-14
2484,2025-10-04
2590,2025-09-10
2627,2024-06-01
162,2023-04-10
310,2023-07-18
352,2023-07-29
881,2024-11-19
1808,2023-09-30
2737,2025-08-28
2895,2024-01-03
11,2025-06-22
523,2024-06-06
944,2025-10-18
1039,2025-09-16
1126,2024-02-02
1242,2024-11-09
1371,2024-10-26
1477,2025-10-15
1550,2025-10-13
1883,2024-03-06
2102,2024-03-01
2195,2025-02-17
2247,2023-08-31
2306,2023-03-06
2568,2024-09-04
2587,2025-10-29
2769,2024-12-15
2779,2023-04-12
2960,2024-01-19
25,2025-01-28
619,2024-06-28
734,2025-10-21
1261,2024-06-26
2378,2023-11-16
2507,2023-09-03
2572,2025-01-21
2573,2025-10-19
2745,2024-02-28
699,2023-12-09
836,2023-04-14
927,2025-07-25
1874,2024-05-29
2098,2025-03-27
641,2025-09-16
1011,2023-11-18
1042,2025-06-18
1529,2024-08-17
1562,2025-04-23
1984,2025-04-19
2276,2025-05-10
2522,2023-11-25
2665,2024-11-03
2768,2023-05-09
28,2024-05-31
77,2024-08-20
1230,2025-09-16
1547,2025-10-22
1731,2025-05-17
2109,2023-08-19
2395,2023-10-05
2249,2025-10-02
2560,2025-05-18
2639,2025-05-09
2671,2023-03-13
59,2025-02-11
521,2023-11-22
730,2024-05-11
995,2025-06-17
1050,2023-12-21
1224,2025-11-17
1487,2025-12-29
1576,2024-10-10
2093,2023-06-12
2157,2023-02-23
2304,2024-10-09
2787,2024-06-17
2822,2024-10-30
2922,2024-01-02
1207,2025-11-01
1461,2025-03-03
2110,2025-03-16
2296,2024-12-07
416,2024-12-18
750,2025-07-24
882,2024-02-27
1238,2025-07-07
1418,2023-07-19
2401,2025-05-09
2952,2025-11-09
204,2025-10-01
519,2023-11-06
1074,2025-05-10
2280,2023-08-05
2555,2024-12-15
18,2024-03-10
481,2023-11-09
718,2023-04-30
1206,2025-04-18
1267,2024-08-30
1352,2024-11-29
1495,2025-08-25
1895,2024-03-22
2104,2024-08-07
71,2025-06-18
1394,2025-08-12
1797,2024-05-04
1813,2023-10-22
2554,2023-04-13
2595,2025-02-11
2635,2025-07-12
2907,2023-01-23
253,2025-04-25
311,2025-10-07
846,2024-04-30
2821,2024-12-22
306,2023-04-20
358,2024-11-16
1573,2025-02-22
1591,2023-04-29
2148,2024-09-13
990,2024-07-12
1525,2025-03-25
1567,2023-06-18
2544,2024-03-28
2997,2023-11-06
252,2023-09-01
786,2024-06-17
1088,2023-08-06
1192,2023-12-09
1979,2025-07-04
2203,2025-07-25
2957,2025-05-22
707,2025-11-29
816,2024-02-06
849,2023-07-06
1248,2023-10-25
1943,2024-05-09
1424,2025-04-08
2461,2023-04-17
583,2024-11-05
2844,2023-08-05
2870,2024-01-16
2947,2023-04-22
328,2024-06-20
393,2025-01-30
417,2023-05-28
489,2023-12-25
980,2025-01-24
1024,2023-11-30
1128,2025-04-23
1384,2024-08-23
1581,2024-06-19
2322,2025-09-02
2474,2025-01-22
2563,2025-05-28
2749,2025-01-30
2792,2025-10-20
250,2024-08-21
624,2024-05-14
1753,2025-03-24
2051,2024-03-21
2213,2025-03-11
2736,2023-05-28
2799,2024-01-30
169,2024-03-12
559,2025-12-09
1572,2024-03-06
2258,2024-01-03
2332,2025-09-13
2963,2024-04-13
30,2023-06-17
265,2025-10-23
1959,2025-11-14
2509,2024-10-12
355,2024-06-13
873,2023-11-28
1724,2023-06-24
2666,2023-04-30
222,2024-11-21
313,2023-09-27
1062,2024-10-14
1269,2025-11-10
1361,2024-10-29
1527,2024-11-16
2097,2023-01-26
2134,2023-06-19
2261,2024-03-28
2813,2023-04-15
632,2023-12-13
1319,2024-08-27
2496,2023-08-18
2926,2025-10-07
175,2024-08-09
599,2024-06-27
805,2023-05-14
1318,2023-08-26
1342,2024-03-14
1360,2025-02-28
1465,2024-03-10
1847,2023-03-17
1913,2023-09-27
2120,2023-12-18
2198,2025-03-18
2513,2023-10-13
2553,2025-11-23
1899,2024-01-23
2574,2025-02-19
2692,2024-06-22
1838,2025-07-01
2482,2024-09-07
2637,2023-07-06
2815,2024-07-14
1301,2023-07-12
1343,2025-11-09
1664,2023-08-29
2889,2025-06-15
89,2024-02-07
179,2024-05-09
597,2023-06-14
1081,2025-05-22
1437,2023-11-13
1512,2025-05-08
1615,2023-05-31
2246,2023-12-16
2485,2025-08-10
2656,2024-06-20
2843,2025-12-19
75,2025-03-18
335,2023-08-31
1511,2024-09-01
2638,2024-07-03
114,2023-06-01
1787,2025-01-09
1938,2024-01-30
139,2025-12-26
260,2023-12-01
354,2025-01-20
758,2023-09-28
1134,2025-02-19
1178,2023-05-23
1180,2025-07-29
1365,2025-08-30
1755,2023-03-05
2141,2025-01-25
2852,2025-07-30
634,2024-01-07
747,2024-01-26
874,2024-11-07
1087,2023-06-14
1631,2025-05-18
1798,2023-02-23
2181,2025-07-03
2467,2025-10-06
2723,2023-05-31
2781,2025-09-15
543,2023-12-17
626,2023-05-05
903,2025-11-04
1075,2023-09-03
1785,2025-03-23
1852,2023-07-13
2001,2024-11-01
2062,2025-04-03
2473,2024-06-06
2580,2023-03-13
1344,2023-11-27
2005,2024-06-13
2369,2025-10-05
2783,2024-09-11
2402,2025-03-23
2682,2025-07-07
516,2025-03-28
763,2024-01-13
922,2023-08-13
1159,2024-11-03
1254,2023-10-05
1322,2025-02-10
1425,2023-07-21
1450,2023-12-15
1505,2024-01-28
1707,2023-03-12
1759,2023-04-28
1767,2025-08-12
1802,2025-08-18
2013,2025-05-22
2122,2025-06-29
2271,2023-04-22
2275,2024-06-07
2415,2023-06-19
2699,2023-10-13
2760,2024-12-10
2921,2024-10-31
447,2025-08-01
590,2023-08-14
752,2025-01-20
1154,2025-10-16
1189,2025-03-29
1641,2025-04-03
2790,2023-06-09
334,2024-02-08
821,2023-06-06
1219,2024-10-30
1387,2024-04-24
1888,2023-02-17
2113,2024-08-26
2609,2024-08-06
2856,2025-08-04
322,2023-12-17
737,2023-03-06
760,2023-07-13
2618,2024-06-21
202,2023-03-15
225,2024-07-23
2038,2025-03-02
2583,2025-05-06
119,2024-10-03
191,2023-01-22
360,2024-01-24
503,2024-12-06
527,2025-08-30
940,2024-06-06
1276,2023-03-27
1294,2023-12-13
1339,2024-04-05
1471,2023-03-15
1676,2023-03-19
1680,2023-08-28
2185,2024-05-29
2327,2025-10-14
2339,2024-05-04
2687,2023-03-30
104,2023-04-30
1420,2023-04-11
1584,2023-11-17
1691,2023-07-17
1974,2024-04-12
2139,2023-03-10
2165,2023-12-16
2625,2023-07-16
72,2025-05-18
1040,2025-12-08
1069,2023-07-08
1218,2025-09-07
1330,2023-12-18
1663,2024-11-09
1927,2023-04-16
2074,2023-04-30
2654,2023-05-14
2668,2025-11-25
151,2024-10-29
362,2024-08-25
717,2023-01-15
2825,2025-04-23
152,2023-08-16
193,2025-09-27
385,2023-06-02
401,2023-11-07
731,2024-10-01
946,2024-04-08
1209,2024-10-04
1403,2023-06-15
1642,2024-05-25
1699,2025-08-21
2047,2025-03-25
2319,2025-02-11
2462,2025-07-10
2647,2025-09-06
2998,2023-04-20
106,2023-07-05
1826,2024-06-23
1839,2024-08-07
2511,2025-08-12
63,2025-03-20
182,2024-11-06
671,2025-12-03
693,2023-11-26
1513,2024-03-03
1538,2024-09-11
2830,2024-01-12
88,2023-08-29
331,2023-12-21
2795,2024-01-05
2961,2025-04-11
368,2025-04-25
496,2024-03-28
1213,2024-12-06
1307,2023-11-03
1427,2025-04-26
1515,2023-12-30
1856,2024-03-05
2124,2023-04-17
293,2024-11-14
327,2024-11-04
1300,2023-06-12
2288,2024-04-17
81,2023-07-27
233,2025-07-23
515,2023-08-15
520,2023-07-01
686,2025-01-12
812,2025-02-01
880,2023-09-13
1093,2025-12-20
1096,2023-09-26
1266,2025-10-03
1273,2024-10-12
1358,2024-05-31
1579,2025-11-15
1714,2024-03-19
1835,2024-09-12
1906,2024-02-02
2460,2025-01-31
2543,2024-09-30
1290,2024-09-07
2056,2023-07-14
2678,2024-02-17
997,2025-11-30
2158,2023-10-28
2231,2025-04-06
2505,2024-04-29
2950,2024-11-05
506,2025-03-02
551,2024-04-26
580,2024-08-12
1494,2024-06-25
457,2025-02-14
1136,2023-05-11
2317,2024-05-24
664,2024-12-23
705,2024-02-28
892,2023-11-16
897,2024-01-17
1007,2025-07-17
1008,2024-08-11
1392,2025-05-29
1531,2024-03-24
1851,2024-12-05
2111,2023-09-27
2348,2025-07-15
2375,2025-01-24
2527,2023-10-06
2591,2024-09-01
297,2024-01-16
558,2025-09-07
672,2024-08-03
681,2023-05-31
1295,2025-03-24
2536,2025-07-18
382,2023-05-08
1610,2023-10-14
1971,2023-06-05
2411,2025-05-22
2541,2024-11-01
2471,2025-11-27
2676,2024-12-25
50,2024-12-12
159,2023-06-15
219,2024-03-21
256,2024-09-21
408,2024-11-19
567,2024-04-24
633,2024-01-26
746,2024-08-10
785,2023-04-04
796,2023-07-24
885,2024-12-13
1135,2024-12-16
1296,2024-07-02
1530,2024-05-06
1717,2025-09-19
1821,2024-03-31
2372,2024-06-13
2409,2024-11-24
2446,2023-08-27
2453,2023-02-17
2463,2023-08-30
2506,2023-07-22
405,2024-07-07
528,2025-07-12
5,2025-07-12
229,2025-01-16
245,2024-11-15
790,2025-04-25
1673,2024-05-07
1119,2023-04-16
1323,2025-04-09
1997,2025-06-29
2199,2025-07-15
2222,2024-10-14
9,2023-04-14
92,2025-12-29
210,2023-09-01
343,2023-03-09
374,2023-08-23
792,2025-09-15
1108,2025-01-06
1120,2024-03-31
1305,2024-03-05
1589,2023-05-02
1681,2023-07-15
2087,2024-10-27
2217,2025-04-21
2927,2025-03-23
332,2023-07-03
992,2023-01-12
1520,2023-08-19
1687,2025-10-11
420,2024-04-11
977,2023-12-16
1210,2024-01-08
1773,2023-07-07
1926,2024-05-24
1947,2023-10-14
248,2025-12-02
1479,2024-01-19
1850,2025-09-27
2180,2024-03-19
925,2025-12-09
199,2024-04-29
397,2025-10-24
452,2025-09-14
692,2023-10-26
1223,2024-03-21
1388,2023-06-30
2494,2024-01-13
2207,2023-07-10
2149,2025-10-14
2472,2025-01-26
742,2025-12-02
871,2024-08-20
1246,2024-11-23
1713,2025-08-24
1734,2025-01-02
1768,2025-02-23
2386,2025-02-28
2664,2024-06-15
473,2023-06-20
985,2024-10-22
1257,2025-03-11
1604,2024-06-25
2241,2025-04-27
2861,2024-02-22
1288,2025-08-17
1546,2023-10-08
2057,2024-10-07
2343,2025-10-06
576,2023-09-26
2534,2024-07-22
461,2025-10-13
823,2023-07-07
1262,2024-02-01
1650,2025-08-20
1782,2024-09-01
2164,2024-04-08
2188,2024-07-14
2423,2023-06-23
2540,2024-03-20
2718,2024-09-15
1214,2024-06-30
320,2023-04-27
431,2025-07-11
1811,2025-12-02
342,2024-02-12
937,2025-03-03
296,2024-07-11
444,2024-05-30
694,2023-03-10
765,2023-02-07
913,2025-12-01
1089,2024-07-17
1274,2024-11-10
1571,2025-06-08
1657,2025-10-04
1703,2023-08-13
1849,2025-01-05
2883,2024-01-14
2696,2025-03-12
2956,2025-09-12
399,2024-03-29
1228,2024-02-03
886,2025-05-16
1778,2024-03-22
1898,2023-10-20
2044,2024-11-09
2208,2025-05-01
2450,2023-10-18
2875,2023-09-21
166,2024-11-30
315,2024-12-31
2567,2024-09-23
196,2025-09-16
1351,2025-12-19
1635,2025-08-21
443,2025-01-28
1846,2023-03-22
1972,2024-02-08
605,2025-09-02
43,2024-11-10
224,2024-11-08
582,2025-10-22
662,2023-07-18
1391,2023-05-23
1462,2025-03-10
1780,2023-03-12
2766,2024-11-27
2836,2024-12-05
2986,2024-03-04
87,2025-05-05
1842,2025-06-06
2623,2024-07-15
2751,2024-05-05
867,2025-09-30
2010,2025-08-22
702,2025-03-04
729,2024-03-20
905,2023-09-19
1900,2025-01-25
94,2025-12-24
221,2024-01-23
280,2023-10-15
1199,2023-12-20
1492,2024-03-26
1771,2023-09-26
1804,2023-03-05
2225,2023-12-06
2727,2023-02-05
2744,2023-04-11
2888,2024-05-16
2999,2024-07-31
1402,2023-05-17
1076,2024-03-07
1124,2023-06-10
2923,2025-09-22
161,2025-03-31
292,2023-04-03
500,2025-10-16
2315,2024-04-13
2384,2025-03-15
2663,2025-11-24
237,2024-06-17
1369,2023-11-08
1968,2023-09-21
2697,2025-12-08
167,2024-04-25
2976,2024-03-15
2556,2023-03-07
2601,2023-03-30
2298,2024-07-09
2887,2024-10-10
62,2023-07-16
69,2025-10-22
615,2025-12-18
959,2025-10-05
1003,2025-12-15
1240,2024-02-05
2407,2023-11-09
27,2025-09-27
2228,2025-06-25
412,2024-03-06
1167,2025-02-03
68,2024-04-24
563,2025-01-18
1548,2023-03-06
1964,2023-03-07
2303,2023-09-29
1047,2023-12-02
1204,2024-12-15
2118,2025-10-21
2959,2023-12-03
102,2023-06-26
1750,2023-07-09
2391,2025-02-02
458,2025-02-08
1077,2024-02-12
2479,2025-01-17
469,2025-05-14
817,2023-06-26
1709,2025-08-17
1930,2023-03-02
2076,2024-03-18
2414,2023-07-11
2995,2024-10-04
642,2025-01-16
1833,2024-06-03
2163,2024-11-24
