cohort_month,month_number,active_customers
2024-02-01,19,1
2024-02-01,20,2
2024-02-01,22,1
2024-03-01,0,72
2024-03-01,1,29
2024-03-01,2,21
2024-03-01,3,14
2024-03-01,4,14
2024-03-01,5,9
2024-03-01,6,11
2024-03-01,7,7
2024-03-01,8,4
2024-03-01,9,5
2024-03-01,10,4
2024-03-01,11,6
2024-03-01,12,4
2024-03-01,13,5
2024-03-01,14,3
2024-03-01,15,3
2024-03-01,16,4
2024-03-01,17,1
2024-03-01,18,1
2024-03-01,20,2
2024-04-01,0,43
2024-04-01,1,16
2024-04-01,2,13
2024-04-01,3,10
2024-04-01,4,16
2024-04-01,5,14
2024-04-01,6,12
2024-04-01,7,7
2024-04-01,8,9
2024-04-01,9,4
2024-04-01,10,9
2024-04-01,11,8
2024-04-01,12,4
2024-04-01,13,6
2024-04-01,14,3
2024-04-01,15,4
2024-04-01,16,5
2024-04-01,17,5
2024-04-01,18,4
2024-04-01,19,2
2024-04-01,20,4
2024-05-01,0,50
2024-05-01,1,22
2024-05-01,2,13
2024-05-01,3,14
2024-05-01,4,9
2024-05-01,5,6
2024-05-01,6,10
2024-05-01,7,7
2024-05-01,8,4
2024-05-01,9,2
2024-05-01,10,4
2024-05-01,11,4
2024-05-01,12,2
2024-05-01,13,1
2024-05-01,14,1
2024-05-01,15,1
2024-05-01,16,3
2024-05-01,17,2
2024-05-01,18,2
2024-05-01,19,2
2024-06-01,0,47
2024-06-01,1,18
2024-06-01,2,15
2024-06-01,3,14
2024-06-01,4,11
2024-06-01,5,11
2024-06-01,6,8
2024-06-01,7,5
2024-06-01,8,4
2024-06-01,9,5
2024-06-01,10,4
2024-06-01,11,2
2024-06-01,12,1
2024-06-01,13,1
2024-06-01,14,1
2024-06-01,15,2
2024-06-01,16,2
2024-06-01,18,3
2024-07-01,0,50
2024-07-01,1,20
2024-07-01,2,14
2024-07-01,3,18
2024-07-01,4,12
2024-07-01,5,11
2024-07-01,6,10
2024-07-01,7,8
2024-07-01,8,9
2024-07-01,9,8
2024-07-01,10,10
2024-07-01,11,4
2024-07-01,12,5
2024-07-01,13,6
2024-07-01,14,5
2024-07-01,15,4
2024-07-01,16,4
2024-07-01,17,3
2024-08-01,0,47
2024-08-01,1,20
2024-08-01,2,14
2024-08-01,3,14
2024-08-01,4,13
2024-08-01,5,8
2024-08-01,6,10
2024-08-01,7,1
2024-08-01,8,5
2024-08-01,9,1
2024-08-01,10,7
2024-08-01,11,5
2024-08-01,12,4
2024-08-01,13,2
2024-08-01,14,2
2024-08-01,15,1
2024-08-01,16,4
2024-09-01,0,49
2024-09-01,1,19
2024-09-01,2,15
2024-09-01,3,7
2024-09-01,4,6
2024-09-01,5,5
2024-09-01,6,5
2024-09-01,7,4
2024-09-01,8,4
2024-09-01,9,3
2024-09-01,11,3
2024-09-01,12,2
2024-09-01,15,2
2024-10-01,0,54
2024-10-01,1,25
2024-10-01,2,25
2024-10-01,3,17
2024-10-01,4,12
2024-10-01,5,16
2024-10-01,6,9
2024-10-01,7,7
2024-10-01,8,5
2024-10-01,9,6
2024-10-01,10,2
2024-10-01,11,3
2024-10-01,12,1
2024-10-01,13,1
2024-10-01,14,1
2024-11-01,0,60
2024-11-01,1,25
2024-11-01,2,17
2024-11-01,3,11
2024-11-01,4,13
2024-11-01,5,8
2024-11-01,6,8
2024-11-01,7,8
2024-11-01,8,6
2024-11-01,9,5
2024-11-01,10,6
2024-11-01,11,4
2024-11-01,12,3
2024-11-01,13,5
2024-12-01,0,53
2024-12-01,1,14
2024-12-01,2,14
2024-12-01,3,15
2024-12-01,4,12
2024-12-01,5,14
2024-12-01,6,10
2024-12-01,7,7
2024-12-01,8,5
2024-12-01,9,4
2024-12-01,10,2
2024-12-01,11,3
2025-01-01,0,61
2025-01-01,1,16
2025-01-01,2,15
2025-01-01,3,14
2025-01-01,4,14
2025-01-01,5,8
2025-01-01,6,6
2025-01-01,7,9
2025-01-01,8,6
2025-01-01,9,4
2025-01-01,10,5
2025-01-01,11,4
2025-02-01,0,46
2025-02-01,1,20
2025-02-01,2,14
2025-02-01,3,11
2025-02-01,4,10
2025-02-01,5,13
2025-02-01,6,13
2025-02-01,7,11
2025-02-01,8,10
2025-02-01,9,5
2025-02-01,10,7
2025-03-01,0,66
2025-03-01,1,19
2025-03-01,2,21
2025-03-01,3,20
2025-03-01,4,18
2025-03-01,5,17
2025-03-01,6,9
2025-03-01,7,7
2025-03-01,8,6
2025-03-01,9,7
2025-04-01,0,45
2025-04-01,1,11
2025-04-01,2,14
2025-04-01,3,15
2025-04-01,4,10
2025-04-01,5,6
2025-04-01,6,3
2025-04-01,7,9
2025-04-01,8,2
2025-05-01,0,55
2025-05-01,1,24
2025-05-01,2,20
2025-05-01,3,14
2025-05-01,4,11
2025-05-01,5,10
2025-05-01,6,12
2025-05-01,7,8
2025-06-01,0,41
2025-06-01,1,11
2025-06-01,2,11
2025-06-01,3,6
2025-06-01,4,9
2025-06-01,5,2
2025-06-01,6,7
2025-07-01,0,61
2025-07-01,1,28
2025-07-01,2,15
2025-07-01,3,19
2025-07-01,4,15
2025-07-01,5,11
2025-08-01,0,46
2025-08-01,1,18
2025-08-01,2,14
2025-08-01,3,14
2025-08-01,4,7
2025-09-01,0,49
2025-09-01,1,16
2025-09-01,2,12
2025-09-01,3,14
2025-10-01,0,62
2025-10-01,1,21
2025-10-01,2,21
2025-11-01,0,38
2025-11-01,1,13
2025-12-01,0,49
